j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
0, 0.390788, -0.306070, 41.829740, 19.170260, 1.278248, 0.000000, 0.000000
1, 3.544150, 30.385408, 20.026792, 40.973208, -8.594782, 806.923612, 10027.586649
2, 0.907583, 0.718458, 75.785073, 14.785073, 1.462208, 74.392080, 97.635517
3, 0.949402, 0.498613, 80.460116, 19.460116, 1.250975, 4.607775, 30.599567
4, 0.965769, 0.318430, 83.977117, 22.977117, 0.747618, 1.723870, 36.136819
5, 0.966610, 0.245085, 85.361471, 24.361471, 0.454664, 0.087103, 23.033445
6, 0.966916, 0.253225, 85.209626, 24.209626, 0.489600, 0.031698, 3.321309
7, 0.966786, 0.249238, 85.284073, 24.284073, 0.472559, 0.013470, 1.574440
8, 0.966849, 0.251034, 85.250551, 24.250551, 0.480253, 0.006531, 0.720652
9, 0.966821, 0.250189, 85.266314, 24.266314, 0.476640, 0.002973, 0.336363
10, 0.966834, 0.250579, 85.259042, 24.259042, 0.478308, 0.001393, 0.155709
11, 0.966828, 0.250398, 85.262428, 24.262428, 0.477531, 0.000644, 0.072369
12, 0.966831, 0.250482, 85.260858, 24.260858, 0.477891, 0.000299, 0.033574
13, 0.966829, 0.250443, 85.261587, 24.261587, 0.477724, 0.000139, 0.015589
14, 0.966830, 0.250461, 85.261249, 24.261249, 0.477802, 0.000064, 0.007235
15, 0.966830, 0.250452, 85.261406, 24.261406, 0.477766, 0.000030, 0.003359
16, 0.966830, 0.250456, 85.261333, 24.261333, 0.477782, 0.000014, 0.001559
17, 0.966830, 0.250455, 85.261367, 24.261367, 0.477775, 0.000006, 0.000724
18, 0.966830, 0.250455, 85.261351, 24.261351, 0.477778, 0.000003, 0.000336
19, 0.966830, 0.250455, 85.261358, 24.261358, 0.477777, 0.000001, 0.000156
0, 0.330045, 0.030807, 68.663060, 5.636940, 0.826185, 0.000000, 0.000000
1, 0.336674, 0.085475, 67.892693, 6.407307, 0.915535, 2.008342, 177.453200
2, 0.324966, 0.077572, 69.096540, 5.203460, 0.774070, 3.477383, 9.245441
3, 0.330509, 0.080876, 68.618493, 5.681507, 0.831471, 1.705591, 4.259689
4, 0.328128, 0.079391, 68.837504, 5.462496, 0.805363, 0.720348, 1.836532
5, 0.329195, 0.080042, 68.742330, 5.557670, 0.816749, 0.325021, 0.820339
6, 0.328726, 0.079753, 68.784729, 5.515271, 0.811684, 0.142457, 0.361084
7, 0.328934, 0.079881, 68.766041, 5.533959, 0.813918, 0.063247, 0.160005
8, 0.328842, 0.079825, 68.774317, 5.525683, 0.812929, 0.027921, 0.070695
9, 0.328882, 0.079850, 68.770660, 5.529340, 0.813366, 0.012357, 0.031276
10, 0.328864, 0.079838, 68.772278, 5.527722, 0.813173, 0.005463, 0.013828
11, 0.328872, 0.079843, 68.771562, 5.528438, 0.813258, 0.002416, 0.006116
12, 0.328869, 0.079841, 68.771879, 5.528121, 0.813220, 0.001068, 0.002704
13, 0.328870, 0.079842, 68.771739, 5.528261, 0.813237, 0.000472, 0.001196
14, 0.328870, 0.079842, 68.771800, 5.528200, 0.813230, 0.000209, 0.000529
15, 0.328870, 0.079842, 68.771773, 5.528227, 0.813233, 0.000092, 0.000234
16, 0.328870, 0.079842, 68.771785, 5.528215, 0.813231, 0.000041, 0.000103
0, 0.371100, -0.233896, 78.430640, 6.469360, 0.922536, 0.000000, 0.000000
1, 0.331478, 0.026573, 75.612043, 9.287957, 1.203512, 10.676917, 111.361240
2, 0.371903, 0.023651, 78.497145, 6.402855, 0.915031, 12.195580, 10.996397
3, 0.379256, 0.022725, 79.145621, 5.754379, 0.840085, 1.977161, 3.915907
4, 0.380453, 0.022550, 79.260236, 5.639764, 0.826521, 0.315608, 0.769005
5, 0.380643, 0.022522, 79.278675, 5.621325, 0.824330, 0.049768, 0.126089
6, 0.380672, 0.022517, 79.281585, 5.618415, 0.823984, 0.007827, 0.019957
7, 0.380677, 0.022517, 79.282043, 5.617957, 0.823929, 0.001230, 0.003140
8, 0.380678, 0.022517, 79.282115, 5.617885, 0.823921, 0.000193, 0.000494
0, 0.382389, -0.277905, 82.154467, 6.945533, 0.975218, 0.000000, 0.000000
1, 0.314029, 0.011658, 79.896656, 9.203344, 1.196269, 17.877074, 104.194800
2, 0.375832, 0.011061, 81.959448, 7.140552, 0.996242, 19.680690, 5.119850
3, 0.400495, 0.010731, 82.671349, 6.428651, 0.917946, 6.562218, 2.981337
4, 0.410942, 0.010579, 82.955690, 6.144310, 0.885528, 2.608482, 1.413757
5, 0.415482, 0.010511, 83.076213, 6.023787, 0.871601, 1.104799, 0.642115
6, 0.417477, 0.010481, 83.128608, 5.971392, 0.865513, 0.480234, 0.287500
7, 0.418358, 0.010468, 83.151638, 5.948362, 0.862831, 0.211083, 0.128006
8, 0.418748, 0.010462, 83.161810, 5.938190, 0.861645, 0.093232, 0.056859
9, 0.418921, 0.010459, 83.166312, 5.933688, 0.861120, 0.041267, 0.025231
10, 0.418998, 0.010458, 83.168307, 5.931693, 0.860887, 0.018283, 0.011191
11, 0.419032, 0.010457, 83.169191, 5.930809, 0.860784, 0.008104, 0.004963
12, 0.419047, 0.010457, 83.169583, 5.930417, 0.860738, 0.003593, 0.002200
13, 0.419053, 0.010457, 83.169757, 5.930243, 0.860718, 0.001593, 0.000976
14, 0.419056, 0.010457, 83.169834, 5.930166, 0.860709, 0.000706, 0.000433
15, 0.419058, 0.010457, 83.169868, 5.930132, 0.860705, 0.000313, 0.000192
16, 0.419058, 0.010457, 83.169883, 5.930117, 0.860703, 0.000139, 0.000085
0, 0.396031, -0.322008, 84.079556, 7.220444, 1.004759, 0.000000, 0.000000
1, 0.309053, 0.006721, 82.075939, 9.224061, 1.198050, 21.962485, 102.087352
2, 0.385611, 0.006461, 83.879081, 7.420919, 1.025877, 24.771829, 3.869371
3, 0.422529, 0.006297, 84.551566, 6.748434, 0.953640, 9.574083, 2.541711
4, 0.442553, 0.006200, 84.876339, 6.423661, 0.917383, 4.738969, 1.538735
5, 0.454103, 0.006142, 85.052631, 6.247369, 0.897350, 2.609853, 0.938559
6, 0.461001, 0.006107, 85.154367, 6.145633, 0.885681, 1.519122, 0.578545
7, 0.465207, 0.006085, 85.215147, 6.084853, 0.878671, 0.912304, 0.359383
8, 0.467803, 0.006071, 85.252208, 6.047792, 0.874384, 0.558079, 0.224385
9, 0.469418, 0.006062, 85.275089, 6.024911, 0.871732, 0.345224, 0.140559
10, 0.470428, 0.006057, 85.289323, 6.010677, 0.870080, 0.215025, 0.088234
11, 0.471060, 0.006054, 85.298219, 6.001781, 0.869047, 0.134501, 0.055461
12, 0.471458, 0.006052, 85.303796, 5.996204, 0.868399, 0.084356, 0.034890
13, 0.471707, 0.006050, 85.307299, 5.992701, 0.867992, 0.052995, 0.021961
14, 0.471865, 0.006049, 85.309501, 5.990499, 0.867736, 0.033327, 0.013827
15, 0.471964, 0.006049, 85.310887, 5.989113, 0.867575, 0.020973, 0.008708
16, 0.472026, 0.006049, 85.311759, 5.988241, 0.867473, 0.013203, 0.005485
17, 0.472065, 0.006048, 85.312308, 5.987692, 0.867409, 0.008314, 0.003455
18, 0.472090, 0.006048, 85.312654, 5.987346, 0.867369, 0.005237, 0.002176
19, 0.472106, 0.006048, 85.312872, 5.987128, 0.867344, 0.003298, 0.001371
20, 0.472115, 0.006048, 85.313009, 5.986991, 0.867328, 0.002078, 0.000864
21, 0.472121, 0.006048, 85.313096, 5.986904, 0.867318, 0.001309, 0.000544
22, 0.472125, 0.006048, 85.313150, 5.986850, 0.867312, 0.000825, 0.000343
23, 0.472128, 0.006048, 85.313185, 5.986815, 0.867308, 0.000519, 0.000216
24, 0.472129, 0.006048, 85.313206, 5.986794, 0.867305, 0.000327, 0.000136
25, 0.472130, 0.006048, 85.313220, 5.986780, 0.867304, 0.000206, 0.000086
26, 0.472131, 0.006048, 85.313228, 5.986772, 0.867303, 0.000130, 0.000054
