j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
0, 0.401681, -0.337950, 85.249985, 7.350015, 1.018450, 0.000000, 0.000000
1, 0.297249, 0.004197, 83.554850, 9.045150, 1.182508, 25.998793, 101.242022
2, 0.383256, 0.004191, 85.000749, 7.599251, 1.044354, 28.934341, 0.159033
3, 0.430674, 0.004133, 85.610010, 6.989990, 0.980040, 12.372471, 1.379690
4, 0.460583, 0.004080, 85.946135, 6.653865, 0.943171, 6.944811, 1.271919
5, 0.481028, 0.004038, 86.158252, 6.441748, 0.919424, 4.438882, 1.042620
6, 0.495764, 0.004004, 86.303295, 6.296705, 0.902981, 3.063384, 0.838679
7, 0.506787, 0.003977, 86.407862, 6.192138, 0.891025, 2.223595, 0.675600
8, 0.515263, 0.003955, 86.486103, 6.113897, 0.882024, 1.672354, 0.547761
9, 0.521915, 0.003937, 86.546264, 6.053736, 0.875072, 1.291028, 0.447379
10, 0.527221, 0.003923, 86.593490, 6.006510, 0.869596, 1.016592, 0.367932
11, 0.531507, 0.003911, 86.631160, 5.968840, 0.865216, 0.812911, 0.304462
12, 0.535004, 0.003901, 86.661591, 5.938409, 0.861671, 0.658008, 0.253290
13, 0.537881, 0.003893, 86.686424, 5.913576, 0.858772, 0.537857, 0.211685
14, 0.540265, 0.003886, 86.706858, 5.893142, 0.856384, 0.443150, 0.177605
15, 0.542251, 0.003880, 86.723785, 5.876215, 0.854403, 0.367502, 0.149508
16, 0.543912, 0.003875, 86.737885, 5.862115, 0.852751, 0.306409, 0.126212
17, 0.545308, 0.003871, 86.749685, 5.850315, 0.851368, 0.256615, 0.106802
18, 0.546484, 0.003868, 86.759597, 5.840403, 0.850205, 0.215714, 0.090562
19, 0.547478, 0.003865, 86.767951, 5.832049, 0.849225, 0.181900, 0.076926
20, 0.548320, 0.003862, 86.775011, 5.824989, 0.848396, 0.153789, 0.065440
21, 0.549035, 0.003860, 86.780991, 5.819009, 0.847693, 0.130311, 0.055739
22, 0.549642, 0.003858, 86.786066, 5.813934, 0.847097, 0.110625, 0.047528
23, 0.550159, 0.003857, 86.790380, 5.809620, 0.846590, 0.094062, 0.040564
24, 0.550600, 0.003855, 86.794052, 5.805948, 0.846158, 0.080087, 0.034648
25, 0.550975, 0.003854, 86.797181, 5.802819, 0.845790, 0.068267, 0.029614
26, 0.551296, 0.003853, 86.799851, 5.800149, 0.845476, 0.058248, 0.025327
27, 0.551571, 0.003852, 86.802130, 5.797870, 0.845208, 0.049741, 0.021670
28, 0.551805, 0.003852, 86.804078, 5.795922, 0.844979, 0.042507, 0.018550
29, 0.552006, 0.003851, 86.805743, 5.794257, 0.844783, 0.036347, 0.015885
30, 0.552177, 0.003850, 86.807168, 5.792832, 0.844616, 0.031095, 0.013606
31, 0.552324, 0.003850, 86.808387, 5.791613, 0.844472, 0.026615, 0.011658
32, 0.552450, 0.003850, 86.809431, 5.790569, 0.844349, 0.022788, 0.009991
33, 0.552558, 0.003849, 86.810325, 5.789675, 0.844244, 0.019518, 0.008564
34, 0.552650, 0.003849, 86.811091, 5.788909, 0.844154, 0.016722, 0.007342
35, 0.552730, 0.003849, 86.811747, 5.788253, 0.844077, 0.014330, 0.006295
36, 0.552797, 0.003848, 86.812309, 5.787691, 0.844010, 0.012283, 0.005399
37, 0.552856, 0.003848, 86.812792, 5.787208, 0.843954, 0.010530, 0.004630
38, 0.552906, 0.003848, 86.813205, 5.786795, 0.843905, 0.009028, 0.003971
39, 0.552948, 0.003848, 86.813559, 5.786441, 0.843863, 0.007742, 0.003406
40, 0.552985, 0.003848, 86.813864, 5.786136, 0.843827, 0.006640, 0.002922
41, 0.553017, 0.003848, 86.814124, 5.785876, 0.843797, 0.005695, 0.002507
42, 0.553044, 0.003848, 86.814348, 5.785652, 0.843770, 0.004885, 0.002151
43, 0.553067, 0.003848, 86.814540, 5.785460, 0.843748, 0.004190, 0.001845
44, 0.553087, 0.003848, 86.814704, 5.785296, 0.843728, 0.003595, 0.001583
45, 0.553104, 0.003848, 86.814846, 5.785154, 0.843712, 0.003084, 0.001358
46, 0.553118, 0.003847, 86.814967, 5.785033, 0.843698, 0.002646, 0.001166
47, 0.553131, 0.003847, 86.815071, 5.784929, 0.843685, 0.002270, 0.001000
48, 0.553142, 0.003847, 86.815160, 5.784840, 0.843675, 0.001948, 0.000858
49, 0.553151, 0.003847, 86.815236, 5.784764, 0.843666, 0.001671, 0.000736
