j,r,c,gamma,a,a_prime,i,beta
1, 0.200000, 0.952576, 61.000000, 0.407731, 0.829930, 4.078357, 56.921643
2, 1.000000, 0.634670, 74.300000, 0.325775, 0.079482, 5.623804, 68.676196
3, 2.000000, 0.328107, 84.900000, 0.373812, 0.022359, 5.735531, 79.164469
4, 3.000000, 0.213591, 89.100000, 0.402022, 0.010327, 6.129320, 82.970680
5, 4.000000, 0.149886, 91.300000, 0.445033, 0.005994, 6.226477, 85.073523
6, 5.000000, 0.108579, 92.600000, 0.499404, 0.003891, 6.166682, 86.433318
