j,r,c,gamma,a,a_prime,i,beta
1, 0.200000, 1.497671, 61.000000, 0.122662, 0.640586, 30.104225, 30.895775
2, 1.000000, 0.581817, 74.300000, 0.386011, 0.085304, 3.772589, 70.527411
3, 2.000000, 0.269500, 84.900000, 0.487963, 0.023832, 3.782652, 81.117348
4, 3.000000, 0.129087, 89.100000, 0.640507, 0.009896, 3.341468, 85.758532
5, 4.000000, 0.000000, 91.300000, 1.000000, 0.000000, 1.299924, 90.000076
6, 5.000000, 0.000000, 92.600000, 1.000000, 0.000000, 2.599924, 90.000076
