j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
7, 0.354064, 0.021857, 78.825805, 6.074195, 0.799056, 0.001040, 0.001839
8, 0.354065, 0.021857, 78.825863, 6.074137, 0.799050, 0.000192, 0.000339
0, 0.360918, -0.186522, 82.154467, 6.945533, 0.889538, 0.000000, 0.000000
1, 0.318692, 0.010867, 80.704874, 8.395126, 1.034615, 11.699641, 105.825979
2, 0.356275, 0.010422, 82.007235, 7.092765, 0.904843, 11.792953, 4.092365
3, 0.370244, 0.010238, 82.439618, 6.660382, 0.859835, 3.920620, 1.768775
4, 0.375722, 0.010166, 82.600500, 6.499500, 0.843088, 1.479571, 0.704322
5, 0.377918, 0.010137, 82.663644, 6.436356, 0.836524, 0.584669, 0.283162
6, 0.378807, 0.010125, 82.688974, 6.411026, 0.833893, 0.235213, 0.114652
7, 0.379168, 0.010120, 82.699225, 6.400775, 0.832828, 0.095306, 0.046573
8, 0.379315, 0.010119, 82.703389, 6.396611, 0.832396, 0.038729, 0.018945
9, 0.379375, 0.010118, 82.705083, 6.394917, 0.832220, 0.015757, 0.007711
10, 0.379399, 0.010117, 82.705772, 6.394228, 0.832149, 0.006413, 0.003139
11, 0.379409, 0.010117, 82.706052, 6.393948, 0.832120, 0.002611, 0.001278
12, 0.379413, 0.010117, 82.706167, 6.393833, 0.832108, 0.001063, 0.000520
13, 0.379415, 0.010117, 82.706213, 6.393787, 0.832103, 0.000433, 0.000212
14, 0.379415, 0.010117, 82.706232, 6.393768, 0.832101, 0.000176, 0.000086
0, 0.374665, -0.248654, 84.079556, 7.220444, 0.918072, 0.000000, 0.000000
1, 0.310657, 0.006312, 82.590627, 8.709373, 1.062850, 17.084008, 102.538622
2, 0.365361, 0.006110, 83.890720, 7.409280, 0.937530, 17.609303, 3.200966
3, 0.389952, 0.006005, 84.371175, 6.928825, 0.887799, 6.730552, 1.719575
4, 0.402096, 0.005953, 84.587400, 6.712600, 0.865276, 3.114211, 0.870882
5, 0.408377, 0.005926, 84.694252, 6.605748, 0.854145, 1.562104, 0.454469
6, 0.411704, 0.005912, 84.749538, 6.550462, 0.848390, 0.814663, 0.241743
7, 0.413488, 0.005904, 84.778826, 6.521174, 0.845342, 0.433404, 0.129945
8, 0.414452, 0.005900, 84.794535, 6.505465, 0.843708, 0.233004, 0.070246
9, 0.414974, 0.005898, 84.803018, 6.496982, 0.842826, 0.125971, 0.038091
10, 0.415257, 0.005896, 84.807615, 6.492385, 0.842348, 0.068311, 0.020689
11, 0.415412, 0.005896, 84.810111, 6.489889, 0.842088, 0.037104, 0.011247
12, 0.415495, 0.005895, 84.811468, 6.488532, 0.841947, 0.020172, 0.006117
13, 0.415541, 0.005895, 84.812206, 6.487794, 0.841870, 0.010972, 0.003328
14, 0.415566, 0.005895, 84.812607, 6.487393, 0.841829, 0.005969, 0.001811
15, 0.415579, 0.005895, 84.812825, 6.487175, 0.841806, 0.003248, 0.000985
16, 0.415587, 0.005895, 84.812944, 6.487056, 0.841794, 0.001767, 0.000536
17, 0.415591, 0.005895, 84.813009, 6.486991, 0.841787, 0.000962, 0.000292
18, 0.415593, 0.005895, 84.813044, 6.486956, 0.841783, 0.000523, 0.000159
19, 0.415594, 0.005895, 84.813063, 6.486937, 0.841781, 0.000285, 0.000086
20, 0.415595, 0.005895, 84.813074, 6.486926, 0.841780, 0.000155, 0.000047
0, 0.380419, -0.270774, 85.249985, 7.350015, 0.931440, 0.000000, 0.000000
1, 0.299794, 0.003980, 83.937679, 8.662321, 1.058738, 21.193688, 101.469846
2, 0.363967, 0.003966, 85.017692, 7.582308, 0.955201, 21.405751, 0.343923
3, 0.397286, 0.003933, 85.472267, 7.127733, 0.908470, 9.154487, 0.848055
4, 0.416552, 0.003907, 85.708408, 6.891592, 0.883923, 4.849201, 0.640116
5, 0.428389, 0.003890, 85.844995, 6.755005, 0.869694, 2.841701, 0.443049
6, 0.435934, 0.003878, 85.928938, 6.671062, 0.860948, 1.761247, 0.301592
7, 0.440855, 0.003870, 85.982451, 6.617549, 0.855374, 1.128986, 0.204700
8, 0.444114, 0.003865, 86.017361, 6.582639, 0.851739, 0.739198, 0.138989
9, 0.446293, 0.003861, 86.040478, 6.559522, 0.849333, 0.490669, 0.094473
10, 0.447760, 0.003859, 86.055937, 6.544063, 0.847724, 0.328656, 0.064280
11, 0.448752, 0.003857, 86.066342, 6.533658, 0.846641, 0.221467, 0.043773
12, 0.449424, 0.003856, 86.073377, 6.526623, 0.845909, 0.149841, 0.029826
13, 0.449881, 0.003855, 86.078148, 6.521852, 0.845413, 0.101658, 0.020332
14, 0.450192, 0.003855, 86.081389, 6.518611, 0.845076, 0.069096, 0.013864
15, 0.450404, 0.003854, 86.083594, 6.516406, 0.844846, 0.047023, 0.009456
16, 0.450548, 0.003854, 86.085096, 6.514904, 0.844690, 0.032029, 0.006451
17, 0.450646, 0.003854, 86.086119, 6.513881, 0.844584, 0.021828, 0.004401
18, 0.450713, 0.003854, 86.086817, 6.513183, 0.844511, 0.014882, 0.003002
19, 0.450759, 0.003854, 86.087293, 6.512707, 0.844461, 0.010149, 0.002049
20, 0.450790, 0.003854, 86.087618, 6.512382, 0.844428, 0.006923, 0.001398
21, 0.450811, 0.003854, 86.087839, 6.512161, 0.844405, 0.004723, 0.000954
22, 0.450826, 0.003854, 86.087990, 6.512010, 0.844389, 0.003222, 0.000651
23, 0.450836, 0.003854, 86.088093, 6.511907, 0.844378, 0.002198, 0.000444
24, 0.450843, 0.003854, 86.088163, 6.511837, 0.844371, 0.001500, 0.000303
25, 0.450847, 0.003854, 86.088211, 6.511789, 0.844366, 0.001024, 0.000207
26, 0.450850, 0.003854, 86.088244, 6.511756, 0.844363, 0.000698, 0.000141
27, 0.450853, 0.003854, 86.088266, 6.511734, 0.844360, 0.000477, 0.000096
28, 0.450854, 0.003854, 86.088282, 6.511718, 0.844359, 0.000325, 0.000066
29, 0.450855, 0.003854, 86.088292, 6.511708, 0.844358, 0.000222, 0.000045
30, 0.450856, 0.003854, 86.088299, 6.511701, 0.844357, 0.000151, 0.000031
31, 0.450856, 0.003854, 86.088304, 6.511696, 0.844356, 0.000103, 0.000021
