j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
9, 0.401656, 0.010330, 82.962518, 6.137482, 0.850432, 0.084163, 0.023895
10, 0.401831, 0.010329, 82.966432, 6.133568, 0.850106, 0.043774, 0.012424
11, 0.401923, 0.010328, 82.968469, 6.131531, 0.849937, 0.022796, 0.006469
12, 0.401971, 0.010328, 82.969531, 6.130469, 0.849848, 0.011879, 0.003370
13, 0.401996, 0.010328, 82.970084, 6.129916, 0.849802, 0.006192, 0.001757
14, 0.402009, 0.010327, 82.970372, 6.129628, 0.849778, 0.003228, 0.000916
15, 0.402015, 0.010327, 82.970523, 6.129477, 0.849766, 0.001683, 0.000478
16, 0.402019, 0.010327, 82.970601, 6.129399, 0.849759, 0.000878, 0.000249
17, 0.402021, 0.010327, 82.970642, 6.129358, 0.849756, 0.000458, 0.000130
18, 0.402022, 0.010327, 82.970663, 6.129337, 0.849754, 0.000239, 0.000068
19, 0.402022, 0.010327, 82.970674, 6.129326, 0.849753, 0.000124, 0.000035
0, 0.381791, -0.275765, 84.079556, 7.220444, 0.946320, 0.000000, 0.000000
1, 0.309254, 0.006445, 82.403062, 8.896938, 1.107233, 18.999253, 102.337071
2, 0.371244, 0.006221, 83.879178, 7.420822, 0.965059, 20.045118, 3.479923
3, 0.401470, 0.006125, 84.423627, 6.876373, 0.914759, 8.141977, 1.541162
4, 0.418206, 0.006074, 84.689633, 6.610367, 0.890997, 4.168577, 0.829736
5, 0.428113, 0.006044, 84.837047, 6.462953, 0.878105, 2.368966, 0.488367
6, 0.434208, 0.006026, 84.924354, 6.375646, 0.870571, 1.423671, 0.300497
7, 0.438046, 0.006015, 84.978080, 6.321920, 0.865974, 0.883881, 0.189494
8, 0.440498, 0.006007, 85.011917, 6.288083, 0.863095, 0.559745, 0.121239
9, 0.442079, 0.006003, 85.033537, 6.266463, 0.861261, 0.358904, 0.078262
10, 0.443104, 0.006000, 85.047477, 6.252523, 0.860082, 0.231952, 0.050802
11, 0.443772, 0.005998, 85.056520, 6.243480, 0.859318, 0.150670, 0.033095
12, 0.444208, 0.005996, 85.062407, 6.237593, 0.858821, 0.098194, 0.021610
13, 0.444493, 0.005995, 85.066250, 6.233750, 0.858497, 0.064132, 0.014131
14, 0.444679, 0.005995, 85.068762, 6.231238, 0.858285, 0.041944, 0.009250
15, 0.444801, 0.005995, 85.070407, 6.229593, 0.858147, 0.027458, 0.006058
16, 0.444881, 0.005994, 85.071483, 6.228517, 0.858056, 0.017985, 0.003970
17, 0.444934, 0.005994, 85.072189, 6.227811, 0.857997, 0.011785, 0.002602
18, 0.444968, 0.005994, 85.072651, 6.227349, 0.857958, 0.007724, 0.001706
19, 0.444990, 0.005994, 85.072954, 6.227046, 0.857932, 0.005064, 0.001118
20, 0.445005, 0.005994, 85.073153, 6.226847, 0.857915, 0.003320, 0.000733
21, 0.445015, 0.005994, 85.073283, 6.226717, 0.857904, 0.002177, 0.000481
22, 0.445021, 0.005994, 85.073369, 6.226631, 0.857897, 0.001427, 0.000315
23, 0.445025, 0.005994, 85.073425, 6.226575, 0.857892, 0.000936, 0.000207
24, 0.445028, 0.005994, 85.073462, 6.226538, 0.857889, 0.000614, 0.000136
25, 0.445030, 0.005994, 85.073486, 6.226514, 0.857887, 0.000402, 0.000089
26, 0.445031, 0.005994, 85.073501, 6.226499, 0.857886, 0.000264, 0.000058
27, 0.445032, 0.005994, 85.073512, 6.226488, 0.857885, 0.000173, 0.000038
28, 0.445032, 0.005994, 85.073519, 6.226481, 0.857884, 0.000113, 0.000025
0, 0.387169, -0.294358, 85.249985, 7.350015, 0.958410, 0.000000, 0.000000
1, 0.298179, 0.004046, 83.804355, 8.795645, 1.097420, 22.984908, 101.374602
2, 0.369208, 0.004032, 85.006584, 7.593416, 0.981374, 23.821198, 0.342123
3, 0.408024, 0.004005, 85.509720, 7.090280, 0.934281, 10.513211, 0.670206
4, 0.432240, 0.003982, 85.784892, 6.815108, 0.909232, 5.934987, 0.581028
5, 0.448572, 0.003964, 85.956646, 6.643354, 0.893909, 3.778479, 0.464517
6, 0.460158, 0.003949, 86.072518, 6.527482, 0.883722, 2.582901, 0.366149
7, 0.468670, 0.003938, 86.154735, 6.445265, 0.876572, 1.849688, 0.288859
8, 0.475082, 0.003929, 86.215143, 6.384857, 0.871362, 1.368140, 0.228962
9, 0.480004, 0.003922, 86.260655, 6.339345, 0.867462, 1.035934, 0.182466
10, 0.483835, 0.003916, 86.295591, 6.304409, 0.864482, 0.798206, 0.146147
11, 0.486851, 0.003911, 86.322790, 6.277210, 0.862172, 0.623262, 0.117576
12, 0.489244, 0.003907, 86.344198, 6.255802, 0.860359, 0.491692, 0.094946
13, 0.491157, 0.003904, 86.361193, 6.238807, 0.858924, 0.391035, 0.076913
14, 0.492695, 0.003902, 86.374776, 6.225224, 0.857779, 0.312971, 0.062467
15, 0.493935, 0.003900, 86.385690, 6.214310, 0.856860, 0.251767, 0.050845
16, 0.494940, 0.003898, 86.394497, 6.205503, 0.856120, 0.203358, 0.041458
17, 0.495755, 0.003897, 86.401629, 6.198371, 0.855521, 0.164796, 0.033854
18, 0.496419, 0.003896, 86.407421, 6.192579, 0.855035, 0.133900, 0.027678
19, 0.496960, 0.003895, 86.412134, 6.187866, 0.854640, 0.109031, 0.022651
20, 0.497402, 0.003894, 86.415977, 6.184023, 0.854318, 0.088936, 0.018552
21, 0.497764, 0.003894, 86.419115, 6.180885, 0.854055, 0.072648, 0.015205
22, 0.498059, 0.003893, 86.421681, 6.178319, 0.853840, 0.059412, 0.012469
23, 0.498302, 0.003893, 86.423781, 6.176219, 0.853665, 0.048634, 0.010230
24, 0.498500, 0.003893, 86.425501, 6.174499, 0.853521, 0.039842, 0.008396
25, 0.498663, 0.003892, 86.426911, 6.173089, 0.853403, 0.032660, 0.006892
26, 0.498796, 0.003892, 86.428067, 6.171933, 0.853306, 0.026787, 0.005660
27, 0.498906, 0.003892, 86.429015, 6.170985, 0.853227, 0.021979, 0.004649
28, 0.498996, 0.003892, 86.429794, 6.170206, 0.853162, 0.018040, 0.003819
29, 0.499070, 0.003892, 86.430433, 6.169567, 0.853108, 0.014812, 0.003138
30, 0.499131, 0.003892, 86.430958, 6.169042, 0.853064, 0.012164, 0.002578
31, 0.499181, 0.003891, 86.431389, 6.168611, 0.853028, 0.009991, 0.002119
32, 0.499222, 0.003891, 86.431743, 6.168257, 0.852999, 0.008208, 0.001741
33, 0.499255, 0.003891, 86.432034, 6.167966, 0.852974, 0.006744, 0.001431
34, 0.499283, 0.003891, 86.432273, 6.167727, 0.852954, 0.005542, 0.001176
35, 0.499306, 0.003891, 86.432469, 6.167531, 0.852938, 0.004554, 0.000967
36, 0.499324, 0.003891, 86.432631, 6.167369, 0.852924, 0.003743, 0.000795
37, 0.499340, 0.003891, 86.432763, 6.167237, 0.852913, 0.003076, 0.000653
38, 0.499352, 0.003891, 86.432872, 6.167128, 0.852904, 0.002529, 0.000537
39, 0.499363, 0.003891, 86.432962, 6.167038, 0.852897, 0.002078, 0.000441
40, 0.499371, 0.003891, 86.433036, 6.166964, 0.852891, 0.001708, 0.000363
41, 0.499378, 0.003891, 86.433096, 6.166904, 0.852886, 0.001404, 0.000298
42, 0.499384, 0.003891, 86.433146, 6.166854, 0.852881, 0.001154, 0.000245
43, 0.499389, 0.003891, 86.433187, 6.166813, 0.852878, 0.000949, 0.000202
44, 0.499393, 0.003891, 86.433221, 6.166779, 0.852875, 0.000780, 0.000166
45, 0.499396, 0.003891, 86.433248, 6.166752, 0.852873, 0.000641, 0.000136
46, 0.499398, 0.003891, 86.433271, 6.166729, 0.852871, 0.000527, 0.000112
47, 0.499401, 0.003891, 86.433290, 6.166710, 0.852869, 0.000433, 0.000092
48, 0.499402, 0.003891, 86.433305, 6.166695, 0.852868, 0.000356, 0.000076
49, 0.499404, 0.003891, 86.433318, 6.166682, 0.852867, 0.000293, 0.000062
