j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
0, 0.364777, -0.205464, 41.829740, 19.170260, 1.144308, 0.000000, 0.000000
1, 1.413665, 11.037222, 21.814028, 39.185972, -18.973343, 287.542674, 5471.839411
2, 0.801229, 0.268893, 83.870440, 22.870440, 0.110639, 43.322605, 97.563762
3, 0.461124, 0.705417, 63.916957, 2.916957, 0.440848, 42.447926, 162.341237
4, 0.470560, 1.452023, 45.362278, 15.637722, 1.475976, 2.046376, 105.838872
5, 0.440813, 0.929494, 55.990584, 5.009416, 0.712128, 6.321614, 35.986265
6, 0.497845, 1.408989, 47.834271, 13.165729, 1.442689, 12.937896, 51.586694
7, 0.407812, 0.830162, 56.919518, 4.080482, 0.586072, 18.084533, 41.081017
8, 0.457575, 1.445881, 44.682099, 16.317901, 1.451694, 12.202451, 74.168426
9, 0.463704, 1.004258, 55.276783, 5.723217, 0.816999, 1.339430, 30.543509
10, 0.501462, 1.310355, 50.098274, 10.901726, 1.291426, 8.142657, 30.479900
11, 0.440259, 0.927745, 56.007246, 4.992754, 0.709779, 12.204809, 29.198979
12, 0.497534, 1.410782, 47.780191, 13.219809, 1.445133, 13.009193, 52.065742
13, 0.407689, 0.829808, 56.922759, 4.077241, 0.585649, 18.058088, 41.180961
14, 0.457331, 1.445690, 44.670581, 16.329419, 1.451138, 12.176567, 74.219820
15, 0.463821, 1.005041, 55.262625, 5.737375, 0.818105, 1.419023, 30.480220
16, 0.501425, 1.309462, 50.115415, 10.884585, 1.289989, 8.107520, 30.289451
17, 0.440666, 0.929029, 55.995017, 5.004983, 0.711503, 12.117288, 29.052642
18, 0.497763, 1.409469, 47.819890, 13.180110, 1.443346, 12.957081, 51.714262
19, 0.407776, 0.830058, 56.920471, 4.079529, 0.585948, 18.078389, 41.108456
20, 0.457503, 1.445825, 44.678711, 16.321289, 1.451531, 12.194859, 74.183580
21, 0.463738, 1.004488, 55.272626, 5.727374, 0.817323, 1.362793, 30.524946
22, 0.501451, 1.310093, 50.103304, 10.896696, 1.291005, 8.132370, 30.424002
23, 0.440379, 0.928121, 56.003666, 4.996334, 0.710283, 12.179182, 29.156128
24, 0.497602, 1.410399, 47.791819, 13.208181, 1.444613, 12.994058, 51.962890
25, 0.407712, 0.829876, 56.922141, 4.077859, 0.585730, 18.064543, 41.160217
26, 0.457378, 1.445727, 44.672776, 16.327224, 1.451244, 12.181516, 74.210052
27, 0.463798, 1.004891, 55.265329, 5.734671, 0.817894, 1.403818, 30.492321
28, 0.501432, 1.309633, 50.112139, 10.887861, 1.290264, 8.114252, 30.325837
29, 0.440588, 0.928783, 55.997360, 5.002640, 0.711172, 12.134055, 29.080675
30, 0.497720, 1.409722, 47.812288, 13.187712, 1.443691, 12.967157, 51.781646
31, 0.407758, 0.830006, 56.920949, 4.079051, 0.585886, 18.074881, 41.122709
32, 0.457467, 1.445797, 44.677015, 16.322985, 1.451449, 12.191052, 74.191155
33, 0.463755, 1.004603, 55.270542, 5.729458, 0.817486, 1.374504, 30.515637
34, 0.501446, 1.309962, 50.105825, 10.894175, 1.290794, 8.127205, 30.395981
35, 0.440438, 0.928309, 56.001868, 4.998132, 0.710537, 12.166317, 29.134617
36, 0.497635, 1.410206, 47.797656, 13.202344, 1.444351, 12.986421, 51.911237
37, 0.407725, 0.829911, 56.921815, 4.078185, 0.585773, 18.067624, 41.149651
38, 0.457402, 1.445746, 44.673936, 16.326064, 1.451300, 12.184128, 74.204886
39, 0.463787, 1.004812, 55.266756, 5.733244, 0.817782, 1.395790, 30.498708
40, 0.501436, 1.309723, 50.110409, 10.889591, 1.290409, 8.117803, 30.345048
41, 0.440547, 0.928653, 55.998596, 5.001404, 0.710998, 12.142899, 29.095462
42, 0.497697, 1.409855, 47.808277, 13.191723, 1.443872, 12.972454, 51.817178
43, 0.407748, 0.829979, 56.921193, 4.078807, 0.585854, 18.072958, 41.130158
44, 0.457449, 1.445783, 44.676147, 16.323853, 1.451407, 12.189101, 74.195029
45, 0.463764, 1.004662, 55.269475, 5.730525, 0.817569, 1.380502, 30.510867
46, 0.501443, 1.309894, 50.107117, 10.892883, 1.290685, 8.124557, 30.381628
47, 0.440469, 0.928406, 56.000947, 4.999053, 0.710667, 12.159722, 29.123590
48, 0.497653, 1.410107, 47.800647, 13.199353, 1.444216, 12.982496, 51.884753
49, 0.407731, 0.829930, 56.921643, 4.078357, 0.585795, 18.069162, 41.144195
0, 0.325771, 0.074850, 68.663060, 5.636940, 0.810317, 0.000000, 0.000000
1, 0.325757, 0.079820, 68.592490, 5.707510, 0.815775, 0.004288, 6.640391
2, 0.325777, 0.079459, 68.681762, 5.618238, 0.808882, 0.006117, 0.452142
3, 0.325775, 0.079483, 68.675849, 5.624151, 0.809335, 0.000610, 0.029867
4, 0.325775, 0.079482, 68.676218, 5.623782, 0.809307, 0.000037, 0.001866
5, 0.325775, 0.079482, 68.676195, 5.623805, 0.809308, 0.000002, 0.000117
0, 0.359801, -0.180786, 78.430640, 6.469360, 0.878661, 0.000000, 0.000000
1, 0.328803, 0.025093, 76.276330, 8.623670, 1.080733, 8.615107, 113.879975
2, 0.359896, 0.023012, 78.436137, 6.463863, 0.878184, 9.456289, 8.291614
3, 0.369157, 0.022557, 78.936452, 5.963548, 0.836134, 2.573301, 1.979366
4, 0.372215, 0.022425, 79.087915, 5.812085, 0.823987, 0.828399, 0.586150
5, 0.373260, 0.022382, 79.138181, 5.761819, 0.820021, 0.280590, 0.192629
6, 0.373620, 0.022367, 79.155375, 5.744625, 0.818673, 0.096648, 0.065653
7, 0.373746, 0.022362, 79.161317, 5.738683, 0.818207, 0.033482, 0.022660
8, 0.373789, 0.022360, 79.163378, 5.736622, 0.818046, 0.011622, 0.007856
9, 0.373804, 0.022359, 79.164093, 5.735907, 0.817990, 0.004037, 0.002727
10, 0.373809, 0.022359, 79.164342, 5.735658, 0.817971, 0.001403, 0.000947
11, 0.373811, 0.022359, 79.164428, 5.735572, 0.817964, 0.000487, 0.000329
12, 0.373812, 0.022359, 79.164458, 5.735542, 0.817962, 0.000169, 0.000114
0, 0.368982, -0.224709, 82.154467, 6.945533, 0.921033, 0.000000, 0.000000
1, 0.315024, 0.011129, 80.376249, 8.723751, 1.090447, 14.623495, 104.952414
2, 0.362292, 0.010652, 81.966812, 7.133188, 0.938237, 15.004637, 4.279025
3, 0.382570, 0.010477, 82.511162, 6.588838, 0.889101, 5.597248, 1.643382
4, 0.392192, 0.010401, 82.745481, 6.354519, 0.868760, 2.515091, 0.727574
5, 0.396978, 0.010365, 82.856826, 6.243174, 0.859292, 1.220189, 0.349703
6, 0.399414, 0.010347, 82.912240, 6.187760, 0.854631, 0.613582, 0.174991
7, 0.400668, 0.010337, 82.940455, 6.159545, 0.852271, 0.314061, 0.089343
8, 0.401318, 0.010333, 82.954988, 6.145012, 0.851059, 0.162204, 0.046083
