j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
0, 0.427299, -0.397488, 41.829740, 19.170260, 1.486777, 0.000000, 0.000000
1, 0.066485, 0.617142, 18.606186, 42.393814, 0.479900, 84.440664, 255.260588
2, 0.112748, 0.635600, 29.001412, 31.998588, 0.479900, 69.585035, 2.990815
3, 0.120737, 0.639604, 30.536482, 30.463518, 0.479900, 7.085625, 0.630071
4, 0.122283, 0.640393, 30.825386, 30.174614, 0.479900, 1.280362, 0.123271
5, 0.122587, 0.640548, 30.881903, 30.118097, 0.479900, 0.248635, 0.024284
6, 0.122647, 0.640579, 30.893041, 30.106959, 0.479900, 0.048929, 0.004792
7, 0.122659, 0.640585, 30.895239, 30.104761, 0.479900, 0.009654, 0.000946
8, 0.122661, 0.640586, 30.895673, 30.104327, 0.479900, 0.001906, 0.000187
9, 0.122662, 0.640586, 30.895758, 30.104242, 0.479900, 0.000376, 0.000037
0, 0.390348, -0.304680, 68.663060, 5.636940, 1.073791, 0.000000, 0.000000
1, 0.335293, 0.114837, 61.277515, 13.022485, 1.567423, 14.104099, 137.691035
2, 0.395500, 0.092114, 69.562255, 4.737745, 1.004549, 17.956379, 19.787283
3, 0.381640, 0.082517, 70.917196, 3.382804, 0.823649, 3.504486, 10.418789
4, 0.388209, 0.086623, 70.352708, 3.947292, 0.898765, 1.721317, 4.976124
5, 0.384945, 0.084661, 70.613705, 3.686295, 0.862591, 0.840683, 2.264837
6, 0.386537, 0.085619, 70.485482, 3.814518, 0.880176, 0.413424, 1.131671
7, 0.385753, 0.085149, 70.548064, 3.751936, 0.871534, 0.202678, 0.548749
8, 0.386137, 0.085380, 70.517294, 3.782706, 0.875771, 0.099559, 0.270786
9, 0.385949, 0.085267, 70.532384, 3.767616, 0.873690, 0.048861, 0.132574
10, 0.386041, 0.085322, 70.524973, 3.775027, 0.874711, 0.023991, 0.065169
11, 0.385996, 0.085295, 70.528611, 3.771389, 0.874210, 0.011777, 0.031973
12, 0.386018, 0.085308, 70.526824, 3.773176, 0.874456, 0.005782, 0.015702
13, 0.386007, 0.085302, 70.527701, 3.772299, 0.874335, 0.002839, 0.007707
14, 0.386013, 0.085305, 70.527271, 3.772729, 0.874394, 0.001394, 0.003784
15, 0.386010, 0.085303, 70.527482, 3.772518, 0.874365, 0.000684, 0.001858
16, 0.386011, 0.085304, 70.527378, 3.772622, 0.874380, 0.000336, 0.000912
17, 0.386011, 0.085304, 70.527429, 3.772571, 0.874373, 0.000165, 0.000448
18, 0.386011, 0.085304, 70.527404, 3.772596, 0.874376, 0.000081, 0.000220
19, 0.386011, 0.085304, 70.527417, 3.772583, 0.874374, 0.000040, 0.000108
0, 0.421854, -0.386319, 78.430640, 6.469360, 1.140772, 0.000000, 0.000000
1, 0.320838, 0.029518, 73.595383, 11.304617, 1.495380, 23.945760, 107.640724
2, 0.419836, 0.027047, 78.351551, 6.548449, 1.146999, 30.856271, 8.369592
3, 0.464540, 0.025626, 79.988971, 4.911029, 1.013791, 10.647922, 5.253382
4, 0.481669, 0.024558, 80.733883, 4.166117, 0.929626, 3.687230, 4.169687
5, 0.486267, 0.024024, 81.016187, 3.883813, 0.889844, 0.954572, 2.172912
6, 0.487499, 0.023884, 81.090029, 3.809971, 0.879545, 0.253475, 0.584049
7, 0.487836, 0.023846, 81.109866, 3.790134, 0.876797, 0.069051, 0.157357
8, 0.487928, 0.023836, 81.115291, 3.784709, 0.876047, 0.018970, 0.043056
9, 0.487954, 0.023833, 81.116783, 3.783217, 0.875841, 0.005224, 0.011843
10, 0.487961, 0.023832, 81.117194, 3.782806, 0.875784, 0.001439, 0.003262
11, 0.487963, 0.023832, 81.117308, 3.782692, 0.875769, 0.000397, 0.000899
