j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
12, 0.487963, 0.023832, 81.117339, 3.782661, 0.875765, 0.000109, 0.000248
0, 0.430758, -0.404233, 82.154467, 6.945533, 1.191923, 0.000000, 0.000000
1, 0.307840, 0.012766, 78.742038, 10.357962, 1.442470, 28.535218, 103.158141
2, 0.419305, 0.012438, 81.896632, 7.203368, 1.213458, 36.208650, 2.572640
3, 0.480031, 0.011950, 83.185995, 5.914005, 1.096348, 14.482540, 3.922458
4, 0.521107, 0.011622, 83.889958, 5.210042, 1.038637, 8.556923, 2.748517
5, 0.553182, 0.011366, 84.367588, 4.732412, 1.003928, 6.155221, 2.198952
6, 0.575037, 0.011026, 84.741330, 4.358670, 0.956288, 3.950780, 2.987119
7, 0.590009, 0.010764, 84.995538, 4.104462, 0.920949, 2.603639, 2.382195
8, 0.600583, 0.010573, 85.169755, 3.930245, 0.896364, 1.792155, 1.768567
9, 0.608307, 0.010435, 85.292882, 3.807118, 0.879149, 1.286133, 1.307499
10, 0.614123, 0.010333, 85.382888, 3.717112, 0.866773, 0.956154, 0.982683
11, 0.618616, 0.010255, 85.450700, 3.649300, 0.857615, 0.731611, 0.754107
12, 0.622161, 0.010194, 85.503108, 3.596892, 0.850658, 0.573022, 0.590344
13, 0.625007, 0.010146, 85.544470, 3.555530, 0.845252, 0.457412, 0.470335
14, 0.627325, 0.010108, 85.577687, 3.522313, 0.840970, 0.370850, 0.380404
15, 0.629235, 0.010076, 85.604747, 3.495253, 0.837523, 0.304558, 0.311619
16, 0.630826, 0.010050, 85.627056, 3.472944, 0.834712, 0.252805, 0.258043
17, 0.632162, 0.010028, 85.645635, 3.454365, 0.832392, 0.211738, 0.215645
18, 0.633291, 0.010010, 85.661236, 3.438764, 0.830459, 0.178691, 0.181622
19, 0.634253, 0.009995, 85.674432, 3.425568, 0.828835, 0.151775, 0.153986
20, 0.635075, 0.009982, 85.685662, 3.414338, 0.827462, 0.129623, 0.131302
21, 0.635781, 0.009970, 85.695268, 3.404732, 0.826294, 0.111227, 0.112508
22, 0.636390, 0.009961, 85.703522, 3.396478, 0.825295, 0.095830, 0.096812
23, 0.636918, 0.009952, 85.710641, 3.389359, 0.824437, 0.082854, 0.083611
24, 0.637375, 0.009945, 85.716803, 3.383197, 0.823696, 0.071853, 0.072439
25, 0.637774, 0.009939, 85.722151, 3.377849, 0.823056, 0.062478, 0.062933
26, 0.638121, 0.009934, 85.726805, 3.373195, 0.822500, 0.054450, 0.054805
27, 0.638424, 0.009929, 85.730864, 3.369136, 0.822017, 0.047550, 0.047828
28, 0.638690, 0.009925, 85.734410, 3.365590, 0.821595, 0.041596, 0.041815
29, 0.638923, 0.009921, 85.737514, 3.362486, 0.821227, 0.036444, 0.036617
30, 0.639127, 0.009918, 85.740235, 3.359765, 0.820905, 0.031974, 0.032110
31, 0.639306, 0.009915, 85.742623, 3.357377, 0.820622, 0.028084, 0.028193
32, 0.639464, 0.009913, 85.744721, 3.355279, 0.820374, 0.024694, 0.024781
33, 0.639603, 0.009910, 85.746566, 3.353434, 0.820156, 0.021733, 0.021802
34, 0.639726, 0.009909, 85.748191, 3.351809, 0.819965, 0.019142, 0.019198
35, 0.639834, 0.009907, 85.749622, 3.350378, 0.819796, 0.016872, 0.016917
36, 0.639929, 0.009905, 85.750884, 3.349116, 0.819648, 0.014881, 0.014917
37, 0.640013, 0.009904, 85.751997, 3.348003, 0.819517, 0.013131, 0.013161
38, 0.640087, 0.009903, 85.752979, 3.347021, 0.819402, 0.011593, 0.011618
39, 0.640153, 0.009902, 85.753846, 3.346154, 0.819300, 0.010240, 0.010260
40, 0.640211, 0.009901, 85.754613, 3.345387, 0.819210, 0.009048, 0.009064
41, 0.640262, 0.009900, 85.755290, 3.344710, 0.819130, 0.007998, 0.008011
42, 0.640307, 0.009900, 85.755888, 3.344112, 0.819060, 0.007071, 0.007082
43, 0.640347, 0.009899, 85.756418, 3.343582, 0.818998, 0.006254, 0.006263
44, 0.640382, 0.009898, 85.756886, 3.343114, 0.818943, 0.005532, 0.005540
45, 0.640414, 0.009898, 85.757300, 3.342700, 0.818895, 0.004895, 0.004901
46, 0.640442, 0.009897, 85.757666, 3.342334, 0.818852, 0.004331, 0.004337
47, 0.640466, 0.009897, 85.757990, 3.342010, 0.818814, 0.003834, 0.003838
48, 0.640488, 0.009897, 85.758277, 3.341723, 0.818780, 0.003394, 0.003397
49, 0.640507, 0.009896, 85.758532, 3.341468, 0.818750, 0.003004, 0.003008
0, 0.442224, -0.424859, 84.079556, 7.220444, 1.214872, 0.000000, 0.000000
1, 0.310970, 0.007363, 81.383459, 9.916541, 1.414971, 29.680411, 101.733003
2, 0.430934, 0.007196, 83.899797, 7.400203, 1.229664, 38.577149, 2.263133
3, 0.502209, 0.006927, 84.955004, 6.344996, 1.130926, 16.539696, 3.734516
4, 0.556054, 0.006711, 85.583045, 5.716955, 1.080329, 10.721746, 3.120223
5, 0.602063, 0.006482, 86.058391, 5.241609, 1.041251, 8.274029, 3.417130
6, 0.645129, 0.006227, 86.464988, 4.835012, 1.007453, 7.153086, 3.929792
7, 0.687036, 0.005916, 86.845951, 4.454049, 0.969090, 6.495966, 5.005324
8, 0.727510, 0.005526, 87.216941, 4.083059, 0.917930, 5.891070, 6.584841
9, 0.768803, 0.005086, 87.575469, 3.724531, 0.867784, 5.676009, 7.954793
10, 0.813558, 0.004569, 87.941654, 3.358346, 0.820737, 5.821354, 10.175678
11, 0.865378, 0.003921, 88.339016, 2.960984, 0.787272, 6.369535, 14.177140
12, 0.920745, 0.003014, 88.799758, 2.500242, 0.742924, 6.398077, 23.124732
13, 0.968948, 0.001869, 89.292720, 2.007280, 0.692953, 5.235177, 37.990048
14, 0.994754, 0.000753, 89.722605, 1.577395, 0.647908, 2.663277, 59.730550
15, 0.999843, 0.000128, 89.953145, 1.346855, 0.623398, 0.511625, 82.999744
16, 1.000000, 0.000004, 89.998673, 1.301327, 0.618539, 0.015666, 97.009205
17, 1.000000, 0.000000, 90.000075, 1.299925, 0.618390, 0.000014, 99.909911
18, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, 100.000000
19, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
20, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
21, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
22, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
23, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
24, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
25, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
26, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
27, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
28, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
29, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
30, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
31, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
32, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
33, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
34, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
35, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
36, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
37, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
38, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
39, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
40, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
41, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
42, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
43, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
44, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
45, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
46, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
47, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
48, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
49, 1.000000, 0.000000, 90.000076, 1.299924, 0.618389, 0.000000, -1.#IND00
0, 0.446862, -0.432519, 85.249985, 7.350015, 1.225551, 0.000000, 0.000000
1, 0.299746, 0.004565, 83.053358, 9.546642, 1.390647, 32.922008, 101.055481
2, 0.427322, 0.004654, 85.020241, 7.579759, 1.244262, 42.561350, 1.952348
3, 0.508905, 0.004533, 85.924458, 6.675542, 1.156948, 19.091670, 2.613726
4, 0.574847, 0.004391, 86.503083, 6.096917, 1.111105, 12.957610, 3.122449
5, 0.635179, 0.004201, 86.971276, 5.628724, 1.073119, 10.495245, 4.328058
6, 0.695588, 0.003948, 87.399950, 5.200050, 1.037810, 9.510681, 6.011712
7, 0.759980, 0.003601, 87.829500, 4.770500, 1.002067, 9.257116, 8.811543
8, 0.828283, 0.003095, 88.287734, 4.312266, 0.949946, 8.987463, 14.036586
9, 0.897295, 0.002400, 88.774222, 3.825778, 0.881740, 8.331921, 22.457199
10, 0.957659, 0.001533, 89.266303, 3.333697, 0.817842, 6.727343, 36.121282
11, 0.992187, 0.000655, 89.697295, 2.902705, 0.781814, 3.605463, 57.250606
12, 0.999723, 0.000122, 89.944154, 2.655846, 0.758193, 0.759579, 81.390261
13, 1.000000, 0.000004, 89.998093, 2.601907, 0.752931, 0.027665, 96.452885
14, 1.000000, 0.000000, 90.000074, 2.599926, 0.752738, 0.000035, 99.873306
15, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, 100.000000
16, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
17, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
18, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
19, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
20, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
21, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
22, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
23, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
24, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
25, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
26, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
27, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
28, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
29, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
30, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
31, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
32, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
33, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
34, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
35, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
36, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
37, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
38, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
39, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
40, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
41, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
42, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
43, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
44, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
45, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
46, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
47, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
48, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
49, 1.000000, 0.000000, 90.000076, 2.599924, 0.752737, 0.000000, -1.#IND00
