j,r,c,gamma,a,a_prime,i,beta
1, 0.200000, 0.144185, 61.000000, 0.966830, 0.250455, 24.261355, 85.261355
2, 1.000000, 0.631956, 74.300000, 0.328870, 0.079842, 5.528220, 68.771780
3, 2.000000, 0.324586, 84.900000, 0.380678, 0.022517, 5.617874, 79.282126
4, 3.000000, 0.207567, 89.100000, 0.419058, 0.010457, 5.930110, 83.169890
5, 4.000000, 0.142610, 91.300000, 0.472131, 0.006048, 5.986766, 85.313234
6, 5.000000, 0.096966, 92.600000, 0.553151, 0.003847, 5.784764, 86.815236
